Model,Filename,Ground_Truth,Prediction,Match,Time_s
gemini-2.5-pro_raw,"CWE-117,532_Test.py",CWE-117/CWE-532,CWE-117,O,33.46
gemini-2.5-pro_raw,"CWE-117,532_patch.py",None,None,O,16.06
gemini-2.5-pro_raw,CWE-285_patch.py,None,None,O,18.92
gemini-2.5-pro_raw,CWE-285_test.py,CWE-285,CWE-862,X,32.09
gemini-2.5-pro_raw,CWE-287_patch.py,None,CWE-257,X,21.67
gemini-2.5-pro_raw,CWE-287_test.py,CWE-287,CWE-565,X,32.23
gemini-2.5-pro_raw,CWE-311_patch.py,None,None,O,18.51
gemini-2.5-pro_raw,CWE-311_test.py,CWE-311,CWE-312,X,29.22
gemini-2.5-pro_raw,CWE-338_CWE-343_patch.py,None,None,O,13.51
gemini-2.5-pro_raw,CWE-338_CWE-343_test.py,CWE-338/CWE-343,CWE-337,X,26.4
gemini-2.5-pro_raw,CWE-400_patch.py,None,CWE-400,X,20.79
gemini-2.5-pro_raw,CWE-400_test.py,CWE-400,CWE-434,X,54.1
gemini-2.5-pro_raw,CWE-611_patch.py,None,None,O,12.3
gemini-2.5-pro_raw,CWE-611_test.py,CWE-611,CWE-611,O,31.81
gemini-2.5-pro_raw,CWE-639_patch.py,None,None,O,14.48
gemini-2.5-pro_raw,CWE-639_test.py,CWE-639,CWE-862,X,34.46
gemini-2.5-pro_raw,CWE-770_patch.py,None,None,O,17.58
gemini-2.5-pro_raw,CWE-770_test.py,CWE-770,CWE-789,X,28.67
gemini-2.5-pro_raw,CWE-798_patch.py,None,None,O,15.86
gemini-2.5-pro_raw,CWE-798_test.py,CWE-798,CWE-798,O,21.02
gemini-2.5-pro_raw,CWE-915_patch.py,None,None,O,18.41
gemini-2.5-pro_raw,CWE-915_test.py,CWE-915,CWE-915,O,22.77
gemini-2.5-pro_raw,"CWE-942,798_patch.py",None,None,O,14.49
gemini-2.5-pro_raw,"CWE-942,798_test.py",CWE-942/CWE-798,CWE-798,O,37.54
gemini-2.5-pro_raw,CWE-942_patch.py,None,None,O,10.57
gemini-2.5-pro_raw,CWE-942_test.py,CWE-942,CWE-942,O,31.23
